BMI,GEO,UNIT,TIME,ISCED11,SEX,AGE,Value,Flag and Footnotes
Underweight,European Union - 27 countries (from 2020),Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.7,
Normal,European Union - 27 countries (from 2020),Percentage,2019,Tertiary education (levels 5-8),Males,Total,44.2,
Obese,European Union - 27 countries (from 2020),Percentage,2019,Tertiary education (levels 5-8),Males,Total,12.8,
Underweight,European Union - 28 countries (2013-2020),Percentage,2019,Tertiary education (levels 5-8),Males,Total,:,
Normal,European Union - 28 countries (2013-2020),Percentage,2019,Tertiary education (levels 5-8),Males,Total,:,
Obese,European Union - 28 countries (2013-2020),Percentage,2019,Tertiary education (levels 5-8),Males,Total,:,
Underweight,Belgium,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.9,
Normal,Belgium,Percentage,2019,Tertiary education (levels 5-8),Males,Total,46.3,
Obese,Belgium,Percentage,2019,Tertiary education (levels 5-8),Males,Total,13.9,
Underweight,Bulgaria,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.1,
Normal,Bulgaria,Percentage,2019,Tertiary education (levels 5-8),Males,Total,38.3,
Obese,Bulgaria,Percentage,2019,Tertiary education (levels 5-8),Males,Total,12.9,
Underweight,Czechia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.1,
Normal,Czechia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,35.7,
Obese,Czechia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,15.5,
Underweight,Denmark,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.4,
Normal,Denmark,Percentage,2019,Tertiary education (levels 5-8),Males,Total,47.2,
Obese,Denmark,Percentage,2019,Tertiary education (levels 5-8),Males,Total,11.3,
Underweight,Germany (until 1990 former territory of the FRG),Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.4,
Normal,Germany (until 1990 former territory of the FRG),Percentage,2019,Tertiary education (levels 5-8),Males,Total,40.7,
Obese,Germany (until 1990 former territory of the FRG),Percentage,2019,Tertiary education (levels 5-8),Males,Total,14.6,
Underweight,Estonia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.7,
Normal,Estonia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,33.4,
Obese,Estonia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,19.9,
Underweight,Ireland,Percentage,2019,Tertiary education (levels 5-8),Males,Total,5.7,
Normal,Ireland,Percentage,2019,Tertiary education (levels 5-8),Males,Total,35,
Obese,Ireland,Percentage,2019,Tertiary education (levels 5-8),Males,Total,23.9,
Underweight,Greece,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.1,
Normal,Greece,Percentage,2019,Tertiary education (levels 5-8),Males,Total,32.6,
Obese,Greece,Percentage,2019,Tertiary education (levels 5-8),Males,Total,15.5,
Underweight,Spain,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.6,
Normal,Spain,Percentage,2019,Tertiary education (levels 5-8),Males,Total,45.6,
Obese,Spain,Percentage,2019,Tertiary education (levels 5-8),Males,Total,11.3,
Underweight,France,Percentage,2019,Tertiary education (levels 5-8),Males,Total,1.4,
Normal,France,Percentage,2019,Tertiary education (levels 5-8),Males,Total,52.4,
Obese,France,Percentage,2019,Tertiary education (levels 5-8),Males,Total,10,
Underweight,Croatia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.4,
Normal,Croatia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,33.3,
Obese,Croatia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,14.5,
Underweight,Italy,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.9,
Normal,Italy,Percentage,2019,Tertiary education (levels 5-8),Males,Total,51.3,
Obese,Italy,Percentage,2019,Tertiary education (levels 5-8),Males,Total,9.9,
Underweight,Cyprus,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.3,
Normal,Cyprus,Percentage,2019,Tertiary education (levels 5-8),Males,Total,40,
Obese,Cyprus,Percentage,2019,Tertiary education (levels 5-8),Males,Total,13.4,
Underweight,Latvia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.3,
Normal,Latvia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,32.5,
Obese,Latvia,Percentage,2019,Tertiary education (levels 5-8),Males,Total,20.5,
Underweight,Lithuania,Percentage,2019,Tertiary education (levels 5-8),Males,Total,1,
Normal,Lithuania,Percentage,2019,Tertiary education (levels 5-8),Males,Total,44.2,
Obese,Lithuania,Percentage,2019,Tertiary education (levels 5-8),Males,Total,13.8,
Underweight,Luxembourg,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.5,
Normal,Luxembourg,Percentage,2019,Tertiary education (levels 5-8),Males,Total,48.7,
Obese,Luxembourg,Percentage,2019,Tertiary education (levels 5-8),Males,Total,11.2,
Underweight,Hungary,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.5,
Normal,Hungary,Percentage,2019,Tertiary education (levels 5-8),Males,Total,33.7,
Obese,Hungary,Percentage,2019,Tertiary education (levels 5-8),Males,Total,19.3,
Underweight,Malta,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.5,
Normal,Malta,Percentage,2019,Tertiary education (levels 5-8),Males,Total,32.8,
Obese,Malta,Percentage,2019,Tertiary education (levels 5-8),Males,Total,23.5,
Underweight,Netherlands,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.8,
Normal,Netherlands,Percentage,2019,Tertiary education (levels 5-8),Males,Total,51.9,
Obese,Netherlands,Percentage,2019,Tertiary education (levels 5-8),Males,Total,9,
Underweight,Austria,Percentage,2019,Tertiary education (levels 5-8),Males,Total,1,
Normal,Austria,Percentage,2019,Tertiary education (levels 5-8),Males,Total,43.6,
Obese,Austria,Percentage,2019,Tertiary education (levels 5-8),Males,Total,14.6,
Underweight,Poland,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.1,
Normal,Poland,Percentage,2019,Tertiary education (levels 5-8),Males,Total,36.4,
Obese,Poland,Percentage,2019,Tertiary education (levels 5-8),Males,Total,15.3,
Underweight,Portugal,Percentage,2019,Tertiary education (levels 5-8),Males,Total,0.7,
Normal,Portugal,Percentage,2019,Tertiary education (levels 5-8),Males,Total,52.1,
