"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","3.8",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","42.4",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","18.4",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","4.3",""
"Normal","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","42.1",""
"Obese","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","19.6",""
"Underweight","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","3.3",""
"Normal","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","45.4",""
"Obese","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","13.5",""
"Underweight","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","4.0",""
"Normal","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","49.6",""
"Obese","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","18.1",""
"Underweight","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","4.5",""
"Normal","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","49.0",""
"Obese","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","18.2",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","5.1",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","45.4",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","22.1",""
"Underweight","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","5.0",""
"Normal","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","48.4",""
"Obese","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","18.8",""
"Underweight","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","19.7",""
"Normal","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","19.7",""
"Obese","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","32.1",""
"Underweight","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","1.3",""
"Normal","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","35.0",""
"Obese","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","20.4",""
"Underweight","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","2.3",""
"Normal","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","37.5",""
"Obese","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","20.0",""
"Underweight","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","4.5",""
"Normal","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","43.3",""
"Obese","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","18.2",""
"Underweight","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","2.2",""
"Normal","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","28.2",""
"Obese","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","31.3",""
"Underweight","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","3.4",""
"Normal","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","45.2",""
"Obese","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","14.2",""
"Underweight","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","3.7",""
"Normal","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","40.0",""
