"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.8",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","61.0",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","10.2",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total",":",""
"Underweight","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.9",""
"Normal","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","59.9",""
"Obese","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","11.5",""
"Underweight","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.5",""
"Normal","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","57.5",""
"Obese","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","7.6",""
"Underweight","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.7",""
"Normal","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","58.9",""
"Obese","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","11.2",""
"Underweight","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.0",""
"Normal","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","59.9",""
"Obese","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","13.4",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.5",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","60.5",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","11.2",""
"Underweight","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.4",""
"Normal","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","48.2",""
"Obese","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","20.9",""
"Underweight","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","25.4",""
"Normal","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","30.5",""
"Obese","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","23.1",""
"Underweight","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.4",""
"Normal","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","63.3",""
"Obese","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","11.5",""
"Underweight","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.3",""
"Normal","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","63.7",""
"Obese","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","8.8",""
"Underweight","France","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","6.0",""
"Normal","France","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","62.0",""
"Obese","France","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","9.6",""
"Underweight","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.6",""
"Normal","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","51.1",""
"Obese","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","13.3",""
"Underweight","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","9.3",""
"Normal","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","67.6",""
"Obese","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","5.1",""
"Underweight","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","7.3",""
"Normal","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","64.2",""
"Obese","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","8.4",""
"Underweight","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.1",""
"Normal","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","48.8",""
"Obese","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","18.1",""
"Underweight","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.6",""
"Normal","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","52.4",""
"Obese","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","14.9",""
"Underweight","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","5.4",""
"Normal","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","66.6",""
"Obese","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","8.6",""
"Underweight","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.1",""
"Normal","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","55.0",""
"Obese","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","16.0",""
"Underweight","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.2",""
"Normal","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","51.8",""
"Obese","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","17.3",""
"Underweight","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.9",""
"Normal","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","62.7",""
"Obese","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","9.9",""
"Underweight","Austria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.6",""
"Normal","Austria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","64.6",""
"Obese","Austria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","7.7",""
"Underweight","Poland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.1",""
"Normal","Poland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","59.8",""
"Obese","Poland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","9.6",""
"Underweight","Portugal","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.1",""
"Normal","Portugal","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","65.1",""
