"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.4",""
"Normal","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","43.9",""
"Obese","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","17.1",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total",":",""
"Normal","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total",":",""
"Obese","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total",":",""
"Underweight","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.3",""
"Normal","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","46.9",""
"Obese","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","16.2",""
"Underweight","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.9",""
"Normal","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","41.0",""
"Obese","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","14.8",""
"Underweight","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.2",""
"Normal","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","35.5",""
"Obese","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","21.4",""
"Underweight","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.7",""
"Normal","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","43.1",""
"Obese","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","18.6",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.0",""
"Normal","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","43.5",""
"Obese","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","19.6",""
"Underweight","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.1",""
"Normal","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","39.9",""
"Obese","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","22.7",""
"Underweight","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","18.2",""
"Normal","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","28.4",""
"Obese","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","25.3",""
"Underweight","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.6",""
"Normal","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","43.9",""
"Obese","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","14.8",""
"Underweight","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.6",""
"Normal","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","48.5",""
"Obese","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","13.1",""
"Underweight","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","4.6",""
"Normal","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","57.0",""
"Obese","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","11.8",""
"Underweight","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.2",""
"Normal","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","33.4",""
"Obese","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","22.3",""
"Underweight","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","4.0",""
"Normal","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","55.4",""
"Obese","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","9.7",""
"Underweight","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","3.8",""
"Normal","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","47.7",""
"Obese","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","15.3",""
"Underweight","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.9",""
"Normal","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","37.1",""
"Obese","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","25.0",""
"Underweight","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.9",""
"Normal","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","35.5",""
"Obese","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","22.0",""
"Underweight","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","3.9",""
"Normal","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","42.3",""
"Obese","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","19.9",""
"Underweight","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.8",""
"Normal","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","35.3",""
"Obese","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","26.9",""
"Underweight","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.8",""
"Normal","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","41.8",""
"Obese","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","25.2",""
"Underweight","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.1",""
"Normal","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","47.1",""
"Obese","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","14.6",""
"Underweight","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.9",""
"Normal","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","44.4",""
"Obese","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","18.2",""
"Underweight","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.0",""
"Normal","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","35.4",""
"Obese","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","21.1",""
"Underweight","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","2.4",""
"Normal","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","49.8",""
"Obese","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","12.7",""
"Underweight","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","0.5",""
"Normal","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","38.8",""
"Obese","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","11.3",""
"Underweight","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.2",""
"Normal","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","30.3",""
"Obese","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","27.1",""
"Underweight","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.6",""
"Normal","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","36.7",""
"Obese","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","21.4",""
"Underweight","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.2",""
"Normal","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","39.0",""
"Obese","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","23.0",""
"Underweight","Sweden","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","1.8",""
"Normal","Sweden","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","42.5",""
